# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: /home/s2162520/test/DE10_JIWY_PINOUT.csv
# Generated on: Mon Apr 29 17:49:38 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HDMI_TX_D[21],Unknown,PIN_AG6,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[22],Unknown,PIN_AF9,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[23],Unknown,PIN_AE8,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_HS,Unknown,PIN_T8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_INT,Unknown,PIN_AF11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_VS,Unknown,PIN_V13,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_CONV_USB_N,Unknown,,,,,3.3-V LVTTL,,,,,,,,,,,,,
HPS_DDR3_ADDR[0],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[1],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[2],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[3],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[4],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[5],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[6],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[7],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[8],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[9],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[10],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[11],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[12],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[13],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[14],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[0],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[1],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[2],Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CAS_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CKE,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CK_N,Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CS_N,Unknown,,,,,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_DM[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[3],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[0],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0](n),,,,,,,,,
HPS_DDR3_DQS_N[0](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_DQS_N[1],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1](n),,,,,,,,,
HPS_DDR3_DQS_N[1](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_N[2],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2](n),,,,,,,,,
HPS_DDR3_DQS_N[2](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_N[3],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3](n),,,,,,,,,
HPS_DDR3_DQS_N[3](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
HPS_DDR3_DQS_P[0],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0](n),,,,,,,,,
HPS_DDR3_DQS_P[0](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[1],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1](n),,,,,,,,,
HPS_DDR3_DQS_P[1](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_P[2],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2](n),,,,,,,,,
HPS_DDR3_DQS_P[2](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_P[3],Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3](n),,,,,,,,,
HPS_DDR3_DQS_P[3](n),Unknown,,,,,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_DQ[0],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Unknown,,,,,SSTL-15 Class I,,,,,,,,,,,,,
